Date,"Daily total post anger reactions of a page.","Daily Page Consumptions","Daily Page Stories","Daily Total Impressions","Daily New Follows","Daily Total 30-Second Views","Daily Total Impressions of your posts","Daily People Talking About This"
,"Daily: total post anger reactions of a page.","Daily: The number of clicks on any of your content. Stories generated without clicks on page content (e.g., liking the page in Timeline) are not included. (Total Count)","Daily: The number of stories created about your Page. (Total Count)","Daily: The number of times any content from your Page or about your Page entered a person's screen. This includes posts, stories, check-ins, ads, social information from people who interact with your Page and more. (Total Count)","Daily: The number of new people who have followed your Page (Total Count)","Daily: Total number of times page's videos was viewed for at least 30 seconds. (Total Count)","Daily: The number of times your Page's posts entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Daily: The number of people sharing stories about your page. These stories include liking your Page, posting to your Page's timeline, liking, commenting on or sharing one of your Page posts, answering a question you posted, responding to one of your events, mentioning your Page, tagging your Page in a photo or checking in at your location. (Unique Users)"
2020-04-30,,1,1,39,1,1,32,1
2020-05-01,,,,31,,,27,
2020-05-02,,3,,71,,,61,
2020-05-03,,,3,20,1,,20,2
2020-05-04,,4,3,52,2,2,39,3
2020-05-05,,,1,48,1,1,45,1
2020-05-06,,3,1,132,,,111,1
2020-05-07,,192,75,3258,7,10,3202,71
2020-05-08,,19,8,312,3,1,293,8
2020-05-09,,489,44,6900,3,2,6826,31
2020-05-10,,220,30,7185,2,1,7136,24
2020-05-11,,1378,189,16567,8,3,16313,157
2020-05-12,,307,16,6898,2,5,6817,16
2020-05-13,,577,101,13189,5,395,13047,90
2020-05-14,,714,85,52263,7,4481,52083,63
2020-05-15,,3164,525,75650,50,4282,75255,295
2020-05-16,,1603,140,69862,11,4880,69635,108
2020-05-17,,2048,222,86511,14,5411,86135,191
2020-05-18,,1749,267,75028,12,4725,74679,218
2020-05-19,,2069,363,92458,25,4206,91989,275
2020-05-20,,3329,556,72605,30,3164,71641,373
2020-05-21,1,8080,743,121076,44,4330,119994,464
2020-05-22,3,5190,511,102773,50,4094,101768,307
2020-05-23,2,6680,723,143468,50,5480,142351,454
2020-05-24,1,8152,995,153952,51,5526,152100,597
2020-05-25,1,7169,986,116241,34,4394,115228,671
2020-05-26,,3649,691,27736,18,871,27194,404
2020-05-27,,1796,297,44229,15,186,43911,229
2020-05-28,,423,58,6266,5,94,6142,53
2020-05-29,,296,24,2718,6,59,2674,20
2020-05-30,,141,15,1591,2,43,1542,14
