"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
37750000311_10158740401490312,https://www.facebook.com/famufest/posts/10158740401490312,"🔻 NOW ONLINE 🔻
From now until 11:59 PM you can watch the winning films of this year’s festival for FREE at www.famufest.cz.

WINNING FILMS 🎥
Live-action film above 15 minutes 〰️ Don't Be A Pussy 〰️ Jakub Jirásek
+ special mention 〰️ Apparatus of Honour 〰️ Jiří Matoušek
Live-action film within 15 minutes 〰️ Reconstruction of Nastasija Filippovna 〰️ Martin Imrich
Documentary/experimental film above 15 minutes 〰️ Good News 〰️ Ondřej Šálek
Documentary/experimental film within 15 minutes 〰️ The Conductor 〰️ René Kmet
Animated film 〰️ The Kite 〰️ Martin Smatana
Aramisova's price 〰️ Woman is neck 〰️ Širín Nafariehová
+ special mention  〰️ Mirror 〰️ Juliana Moska",Photo,,,"05/26/2020 03:01:00 PM"," ",28525,6227,23477,45038,6752,38286,909,822,1123,0,0,6959,3607,4455,1967,246,0,0,0,0,0,0,0,0,0,0,19,146,5,20,151,6,500,164,377,,542,162,419,,,,,
37750000311_10158740532705312,https://www.facebook.com/famufest/photos/a.10158740531175312/10158740532705312/?type=3,"FAMUFEST 36 – OLIVER STAŠA",Photo,,,"05/26/2020 08:40:22 AM"," ",2584,2584,0,3471,3471,0,418,397,858,0,0,3238,2366,0,0,373,0,0,0,0,0,0,0,0,0,0,,52,4,,123,6,247,335,,,431,427,,,,,,
37750000311_10158740372005312,https://www.facebook.com/famufest/posts/10158740372005312,"WE HAVE A SURPRISE FOR YOU! 〰️ We can imagine that some of you might be feeling sorry that you didn’t get to see the winning films, because the tickets were sold out or you didn’t have time to watch them online. But we’ve got news! At midnight today we will put up the winning films on our website and they will be there for 24 hours. Watch them at www.famufest.cz. Enjoy! 🎥🖤",Photo,,,"05/26/2020 07:37:22 AM"," ",5904,5904,0,6250,6250,0,439,367,537,1,1,3387,3090,0,0,277,0,0,0,0,0,0,0,0,0,0,7,142,5,8,150,7,241,118,104,,310,122,105,,1,,1,
37750000311_10158737382160312,https://www.facebook.com/famufest/posts/10158737382160312,"📍 DO ČTVRTICE VŠEHO DOBRÉHO 〰️ Závěrečný ceremoniál je za námi, ale my ještě nekončíme – poslední festivalová znělka je tu!

Director: Marie-Magdalena Kochová
DOP: Ludvík Otevřel
Editor: Lucie Hecht
Production: Alex Kurel, Kryštof David
Post-production supervisor: Kryštof Burda
Production sound mixer: Matěj Lindner
Sound editor: Matěj Lindner
Music editors: Matěj Sirotek, Jan Vaniš
Foley artist: Dominyka Adomaityte
AC: Filip Dalibor Kettner
Gaffer: Miro Žila
Electrician: Martin Vortel
Make-up: Kateřina Pešičková, Magdalena Vaverková
Color grading: David Koubík
Partners: Panavision, UPP, Tricksfx, Studio Versus

[EN]

FOURTH TIME’S THE CHARM! The closing ceremony is behind us but it is still not the end – the last festival jingle is here!",Video,,,"05/25/2020 11:00:00 AM"," ",5526,5526,0,5920,5920,0,342,319,444,1,1,3651,3376,0,0,223,389,406,0,0,1652,1778,0,0,9202,48832,1,53,,1,54,,291,,,76,359,,,85,,1,,1
37750000311_10158737254055312,https://www.facebook.com/famufest/photos/a.10158737250830312/10158737254055312/?type=3,"FAMUFEST 36 – NEDĚLE/SUNDAY (1/2)",Photo,,,"05/25/2020 09:49:20 AM"," ",3757,3757,0,4985,4985,0,683,676,1493,1,1,4803,3624,0,0,658,0,0,0,0,0,0,0,0,0,0,,34,,,38,,433,624,,,822,671,,,1,,1,
37750000311_10158737233385312,https://www.facebook.com/famufest/photos/a.10158737232945312/10158737233385312/?type=3,"FAMUFEST 36 – SOBOTA/SATURDAY (2/2)",Photo,,,"05/25/2020 09:42:53 AM"," ",227,227,0,250,250,0,18,17,17,0,0,151,135,0,0,10,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,17,,,,17,,,,,,
37750000311_10158724064840312,https://www.facebook.com/famufest/posts/10158724064840312,"🔻 NOW ONLINE 🔻
You can watch the following films from midnight today until midnight tomorrow for FREE at www.famufest.cz

BLOCK 6 – BOYS IN STORIES 🎥
Dušan the model 〰️ Ondřej Nuslauer 
Why Do I Feel Like a Boy? 〰️ Kateřina Turečková 
Passionate for ice cream 〰️ Juliana Moska
Tale, then jelly, then laughing duck, you play, pets and something new 〰️ Tereza Chudáčková 
Dream 〰️ Martin Jeřábek 
Three pigeons 〰️ Anežka Fišárková 

BLOCK 8 – SEMTEX 🎥
The Shinkansen 〰️ Jakub Vrbík
Man who connected bomb to a mixing counter 〰️ Luboš Kučera 
Night on fire 〰️ Martin Kuba
Untitled Bloody Project 〰️ Savva Dolomanov 
Deserter 〰️ Sasha Stelchenko",Photo,,,"05/24/2020 02:00:00 PM"," ",38628,2480,37242,49882,2719,47163,1000,977,1180,0,0,7116,3840,4906,2591,208,0,0,0,0,0,0,0,0,0,0,4,47,3,4,48,3,707,130,292,,742,133,305,,,,,
37750000311_10158733557635312,https://www.facebook.com/famufest/posts/10158733557635312,"🎥🎉 VÝSLEDKY SOUTĚŽE 〰️ ARAMISOVA CENA🔻

Ze 13 snímků už známe vítěze nejlepšího filmu prvního ročníku! Za mimořádně zralý vícegenerační portrét rodinného prostředí a politického systému v Íránu uděluje porota cenu filmu ▪️ Žena je krk ▪️

Ceny pro vítěze jsou následující 〰️ jedna frekvence ruchů v Soundsquare, voucher v hodnotě 30 000 Kč do BIOFILMS RENTAL - nejdostupnější rental pro filmaře., voucher v hodnotě 5 000 Kč v radiosrental.cz a šampaňské ze Champagneria.

Zvláštní uznání poroty putuje k filmu ▪️ Zrcadlo ▪️ za poetické zobrazení technologie výroby každodenního objektu, který přirozeně nutí lidi k reflexi své existence.",Photo,,,"05/24/2020 12:58:36 PM"," ",3821,3821,0,4110,4110,0,149,122,164,0,0,3067,2867,0,0,96,0,0,0,0,0,0,0,0,0,0,3,49,,3,57,,106,32,,,130,34,,,,,,
37750000311_10158733554955312,https://www.facebook.com/famufest/posts/10158733554955312,"🎥🎉 VÝSLEDKY SOUTĚŽE 〰️ NEJLEPŠÍ NEREALIZOVANÝ SCÉNÁŘ 🔻
A blížíme se do finále... 25 přihlášených scénářů a my známe výherce! Za silné vizuální momenty, svébytný svět na pomezí reality, snu, hrůzy a vtipu a s ohledem na rapující vlasy, se porota rozhodla udělit cenu dramaturgického inkubátoru za nejlepší nerealizovaný scénář Alici Krajčírové a jejímu scénáři s názvem ▪️ Kanapky ▪️

Vítěz získává 〰️ akreditace s ubytováním na Karlovy Vary International Film Festival, voucher v hodnotě 20 000 Kč do Los Rentalos a šampaňské ze Champagneria.

Porota dále uděluje zvláštní uznání za napínavý a emotivní příběh s výpovědí, který je zasazený do komplexního animovaného světa, Vendule Hláskové a jejímu scénáři ▪️ V koruně stromu ▪️",Photo,,,"05/24/2020 12:52:55 PM"," ",4578,4578,0,4959,4959,0,465,395,735,2,2,3341,3045,0,0,236,0,0,0,0,0,0,0,0,0,0,5,186,12,5,233,28,302,213,,,520,215,,,1,1,1,1
