# ----------------------------------------
# Všechny údaje o webu
# Přehled publika
# 20200501-20200531
# ----------------------------------------

Index dne,Časové období,Segment,Uživatelé
01.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,7
01.05.20,1.5.2020 - 31.5.2020,10s+,3
01.05.20,1.5.2020 - 31.5.2020,facebook,4
01.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,2
02.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,11
02.05.20,1.5.2020 - 31.5.2020,10s+,5
02.05.20,1.5.2020 - 31.5.2020,facebook,6
02.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,2
03.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,11
03.05.20,1.5.2020 - 31.5.2020,10s+,7
03.05.20,1.5.2020 - 31.5.2020,facebook,4
03.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
04.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,22
04.05.20,1.5.2020 - 31.5.2020,10s+,11
04.05.20,1.5.2020 - 31.5.2020,facebook,7
04.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,2
05.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,20
05.05.20,1.5.2020 - 31.5.2020,10s+,14
05.05.20,1.5.2020 - 31.5.2020,facebook,9
05.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,1
06.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,14
06.05.20,1.5.2020 - 31.5.2020,10s+,8
06.05.20,1.5.2020 - 31.5.2020,facebook,5
06.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,3
07.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,74
07.05.20,1.5.2020 - 31.5.2020,10s+,35
07.05.20,1.5.2020 - 31.5.2020,facebook,46
07.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,23
08.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,68
08.05.20,1.5.2020 - 31.5.2020,10s+,39
08.05.20,1.5.2020 - 31.5.2020,facebook,26
08.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,16
09.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,56
09.05.20,1.5.2020 - 31.5.2020,10s+,22
09.05.20,1.5.2020 - 31.5.2020,facebook,36
09.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,26
10.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,67
10.05.20,1.5.2020 - 31.5.2020,10s+,30
10.05.20,1.5.2020 - 31.5.2020,facebook,35
10.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,19
11.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,157
11.05.20,1.5.2020 - 31.5.2020,10s+,77
11.05.20,1.5.2020 - 31.5.2020,facebook,57
11.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,49
12.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,89
12.05.20,1.5.2020 - 31.5.2020,10s+,45
12.05.20,1.5.2020 - 31.5.2020,facebook,35
12.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,28
13.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,151
13.05.20,1.5.2020 - 31.5.2020,10s+,55
13.05.20,1.5.2020 - 31.5.2020,facebook,101
13.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,78
14.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,332
14.05.20,1.5.2020 - 31.5.2020,10s+,113
14.05.20,1.5.2020 - 31.5.2020,facebook,172
14.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,180
15.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,261
15.05.20,1.5.2020 - 31.5.2020,10s+,105
15.05.20,1.5.2020 - 31.5.2020,facebook,120
15.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,144
16.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,200
16.05.20,1.5.2020 - 31.5.2020,10s+,71
16.05.20,1.5.2020 - 31.5.2020,facebook,88
16.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,114
17.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,198
17.05.20,1.5.2020 - 31.5.2020,10s+,79
17.05.20,1.5.2020 - 31.5.2020,facebook,81
17.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,103
18.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,320
18.05.20,1.5.2020 - 31.5.2020,10s+,134
18.05.20,1.5.2020 - 31.5.2020,facebook,104
18.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,129
19.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,493
19.05.20,1.5.2020 - 31.5.2020,10s+,170
19.05.20,1.5.2020 - 31.5.2020,facebook,199
19.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,242
20.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,947
20.05.20,1.5.2020 - 31.5.2020,10s+,318
20.05.20,1.5.2020 - 31.5.2020,facebook,407
20.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,451
21.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,1 710
21.05.20,1.5.2020 - 31.5.2020,10s+,558
21.05.20,1.5.2020 - 31.5.2020,facebook,901
21.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,737
22.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,1 688
22.05.20,1.5.2020 - 31.5.2020,10s+,598
22.05.20,1.5.2020 - 31.5.2020,facebook,893
22.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,739
23.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,2 010
23.05.20,1.5.2020 - 31.5.2020,10s+,666
23.05.20,1.5.2020 - 31.5.2020,facebook,1 121
23.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,956
24.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,2 136
24.05.20,1.5.2020 - 31.5.2020,10s+,738
24.05.20,1.5.2020 - 31.5.2020,facebook,1 290
24.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,1 033
25.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,1 640
25.05.20,1.5.2020 - 31.5.2020,10s+,521
25.05.20,1.5.2020 - 31.5.2020,facebook,1 021
25.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,687
26.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,682
26.05.20,1.5.2020 - 31.5.2020,10s+,275
26.05.20,1.5.2020 - 31.5.2020,facebook,384
26.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,232
27.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,1 148
27.05.20,1.5.2020 - 31.5.2020,10s+,365
27.05.20,1.5.2020 - 31.5.2020,facebook,723
27.05.20,1.5.2020 - 31.5.2020,Mobilní návštěvnost,467
28.05.20,1.5.2020 - 31.5.2020,Všichni uživatelé,466
28.05.20,1.5.2020 - 31.5.2020,10s+,177
28.05.20,1.5.2020 - 31.5.2020,facebook,249
