# ----------------------------------------
# Všechny údaje o webu
# Přehled publika
# 20200501-20200531
# ----------------------------------------

Index dne,Uživatelé
01.05.20,7
02.05.20,11
03.05.20,11
04.05.20,22
05.05.20,20
06.05.20,14
07.05.20,74
08.05.20,68
09.05.20,56
10.05.20,67
11.05.20,157
12.05.20,89
13.05.20,151
14.05.20,332
15.05.20,261
16.05.20,200
17.05.20,198
18.05.20,320
19.05.20,493
20.05.20,947
21.05.20,1 710
22.05.20,1 688
23.05.20,2 010
24.05.20,2 136
25.05.20,1 640
26.05.20,682
27.05.20,1 148
28.05.20,466
29.05.20,149
30.05.20,102
31.05.20,99
,15 328
