# ----------------------------------------
# Všechny údaje o webu
# Přehled publika
# 20200501-20200531
# ----------------------------------------

Index hodiny,Časové období,Segment,Uživatelé
000000,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000000,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000000,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000000,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000001,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000001,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000001,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000001,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000002,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000002,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000002,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000002,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000003,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000003,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000003,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000003,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000004,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000004,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000004,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000004,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000005,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000005,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000005,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000005,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000006,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000006,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000006,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000006,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000007,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000007,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000007,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000007,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000008,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000008,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000008,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000008,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000009,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000009,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000009,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000009,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000010,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000010,1.5.2020 - 31.5.2020,Mobilní návštěvnost,1
000010,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000010,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000011,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000011,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000011,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000011,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
