"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
277,0,2458,61,2020-05-03,2020-05-04,0,0,420,64,245,67886,113888,125
333,0,2400,64,2020-05-04,2020-05-05,0,0,319,62,241,80529,153231,129
337,1,2151,86,2020-05-05,2020-05-06,0,0,279,64,237,80019,171537,117
200,0,2356,54,2020-05-06,2020-05-07,0,0,259,59,270,54095,97558,87
145,0,1561,34,2020-05-07,2020-05-08,1,0,198,79,336,48764,67773,73
163,0,1312,60,2020-05-08,2020-05-09,0,0,141,72,269,43937,63726,57
116,0,1033,32,2020-05-09,2020-05-10,1,0,150,68,262,30475,51115,47
221,0,1274,54,2020-05-10,2020-05-11,0,0,171,60,205,45453,96402,73
164,2,1437,44,2020-05-11,2020-05-12,0,0,191,62,216,35564,67396,68
261,0,1474,71,2020-05-12,2020-05-13,0,0,203,72,266,69648,119065,80
187,2,1713,56,2020-05-13,2020-05-14,1,0,216,66,262,49071,85887,89
193,0,1290,56,2020-05-14,2020-05-15,0,0,198,75,272,52577,81889,86
145,1,1304,33,2020-05-15,2020-05-16,1,0,151,65,279,40532,67072,57
151,0,848,35,2020-05-16,2020-05-17,0,0,125,69,331,50057,78839,64
128,0,822,37,2020-05-17,2020-05-18,0,0,125,77,409,52451,72080,62
116,0,1259,24,2020-05-18,2020-05-19,0,0,156,67,214,24830,48132,54
143,1,720,16,2020-05-19,2020-05-20,0,0,127,57,182,26084,62579,54
284,0,660,18,2020-05-20,2020-05-21,1,0,122,51,148,42049,143472,69
1982,0,4194,300,2020-05-21,2020-05-22,2,0,735,65,556,1103799,1752003,529
1502,0,3162,278,2020-05-22,2020-05-23,1,0,645,61,526,791271,1338028,459
1858,0,3560,370,2020-05-23,2020-05-24,4,0,827,69,698,1297029,1909245,634
2437,0,4971,558,2020-05-24,2020-05-25,2,0,972,70,492,1200393,1780992,718
1904,0,3698,349,2020-05-25,2020-05-26,0,0,735,67,521,992339,1507651,554
170,0,551,26,2020-05-26,2020-05-27,9,0,136,63,466,79274,132553,78
1578,1,3247,284,2020-05-27,2020-05-28,0,0,676,68,672,1060699,1616108,507
63,0,363,13,2020-05-28,2020-05-29,0,0,80,59,339,21412,36846,32
97,1,279,24,2020-05-29,2020-05-30,0,0,75,64,190,18505,37266,32
76,0,213,14,2020-05-30,2020-05-31,0,0,60,53,257,19581,40358,29
31,0,211,12,2020-05-31,2020-06-01,0,0,60,60,287,8916,15723,23
109,1,424,41,2020-06-01,2020-06-02,0,0,93,68,232,25368,37746,42
2,0,7,0,2020-06-02,2020-06-03,0,0,4,96,879,1759,1824,2
"
",,,,,,,,,,,,,
