"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
1110,0,2071,146,1,0,/videos/420329277,"Don't Be a Pussy | FAMUFEST 36 | Jakub Jirásek | 2019",1194,2020-05-19T15:13:08+00:00,Array,857,70,820,911220,1325340,669
452,0,2147,83,2,0,/videos/400952173,"Plody mraků / Fruits of Clouds",630,2020-03-26T13:11:17+00:00,Array,1082,63,348,157320,284760,328
424,0,754,78,1,0,/videos/418071594,"Reconstruction of Nastasija Filipovna | Martin Imrich | 2019",878,2020-05-13T15:18:41+00:00,Array,413,65,569,241556,372675,287
412,0,767,60,2,0,/videos/418461170,"Apparatus of Honour | Jiří Matoušek | 2019",899,2020-05-14T14:06:20+00:00,Array,395,57,489,201608,370738,265
388,0,686,69,0,0,/videos/419261402,"Metro | Helena Fikerová | 2019",271,2020-05-16T11:46:25+00:00,Array,347,77,204,79267,105518,266
371,0,722,52,2,0,/videos/389723617,"Proč se cítím jako kluk? | Why Do I Feel Like A Boy? | Kateřina Turečková | 2019",1638,2020-02-06T13:11:43+00:00,Array,337,62,1003,372435,607698,238
336,0,728,49,1,0,/videos/293133835,"Home Sleep Home | Adam Koloman Rybanský | 2019",1373,2018-10-03T12:34:47+00:00,Array,325,71,944,317394,461617,225
329,0,529,57,0,0,/videos/417589364,"An Almost Happy Couple | Anna Wowra | 2019",326,2020-05-12T12:13:21+00:00,Array,277,81,258,84995,107254,217
322,0,617,18,0,0,/videos/293949594,"Sugar | Tereza Vejvodová | 2018",1492,2018-10-08T13:52:52+00:00,Array,287,67,948,305470,480735,197
321,0,596,72,1,0,/videos/419628585,"The Kite | FAMUFEST 36 | Martin Smatana | 2019",787,2020-05-17T16:54:17+00:00,Array,324,72,552,177492,252933,231
320,0,654,75,0,0,/videos/315465242,"Good News | Ondřej Šálek | 2019",2107,2019-02-05T15:39:49+00:00,Array,328,62,1268,405843,674540,213
319,0,1932,43,1,0,/videos/401098593,"Pouštět draka / The Kite",787,2020-03-26T19:57:00+00:00,Array,959,58,400,127662,251316,233
294,0,595,85,1,0,/videos/417947399,"Mirror | Juliana Moska | 2019",403,2020-05-13T08:37:42+00:00,Array,343,75,298,87633,118758,211
293,0,564,112,2,0,/videos/419564143,"OK2PAY | Ludvík Otevřel | 2019",584,2020-05-17T12:47:15+00:00,Array,290,71,404,118402,171353,206
289,0,544,50,1,0,/videos/420328386,"Playing | FAMUFEST 36 | Lun Sevnik | 2019",1325,2020-05-19T15:10:54+00:00,Array,257,69,910,263165,383210,178
281,0,1648,90,0,0,/videos/401089655,"Medvědění / Bearing",93,2020-03-26T19:31:45+00:00,Array,823,76,65,18421,26377,222
274,0,629,66,1,0,/videos/418043095,"Woman is the neck | Širín Nafariehová | 2019",1090,2020-05-13T14:06:44+00:00,Array,322,63,680,186350,298925,183
267,0,526,36,2,0,/videos/364753372,"Other little ""shits"" - details | Vojtěch Petřina | 2019",919,2019-10-07T10:44:05+00:00,Array,247,60,538,143667,245373,166
261,0,1658,66,0,0,/videos/400882901,"Malý Cousteau / The Little Cousteau",494,2020-03-26T08:05:53+00:00,Array,826,66,286,74836,129157,206
254,0,1710,69,0,0,/videos/401089833,"Nový druh / The New Species",380,2020-03-26T19:32:11+00:00,Array,851,69,226,57622,96520,176
240,0,434,16,0,0,/videos/419559510,"I switched shifts | FAMUFEST 36 | Luboš Kučera | 2019",1992,2020-05-17T12:26:15+00:00,Array,208,65,1263,303212,478080,142
239,0,414,49,0,0,/videos/420331279,"I was trying to kick you out of here | Eulalie Polne | 2019",384,2020-05-19T15:18:40+00:00,Array,240,69,258,61781,91963,168
238,0,495,25,0,0,/videos/383754201,"Apparatgeist | Marie-Magdalena Kochová | 2019",640,2020-01-09T13:53:56+00:00,Array,257,73,457,108799,152549,171
237,0,481,32,0,0,/videos/417775385,"Jan | Petr Pylypčuk | 2019",351,2020-05-12T20:40:08+00:00,Array,268,76,260,61839,83395,170
235,0,488,33,1,0,/videos/418487043,"The Conductor | René Kmet | 2019",819,2020-05-14T15:09:30+00:00,Array,283,72,577,135641,192465,168
233,0,424,48,0,0,/videos/333309293,"Night on Fire | Martin Kuba | 2019",897,2019-04-30T10:56:48+00:00,Array,212,71,631,147042,209001,156
231,0,480,66,0,0,/videos/293245186,"One hundred and twenty-eight thousand | Ondřej Erban | 2019",958,2018-10-03T21:52:52+00:00,Array,223,81,766,177109,221517,153
229,0,461,17,0,0,/videos/420596231,"Sněžka | FAMUFEST 36 | Elvira Dulskaia | 2019",1572,2020-05-20T08:41:13+00:00,Array,232,60,916,209764,360208,142
219,0,406,87,0,0,/videos/419260822,"Coexistence | FAMUFEST 36 | Josef Švejda | 2019",406,2020-05-16T11:43:22+00:00,Array,204,83,333,73034,89106,141
203,0,430,55,0,0,/videos/420326158,"Smooth run | Marek Mrkvička | 2019",468,2020-05-19T15:04:54+00:00,Array,215,77,354,71894,95004,138
201,0,1624,35,0,0,/videos/400952812,Mythopolis,694,2020-03-26T13:13:26+00:00,Array,813,70,417,83906,139494,141
200,0,1604,68,0,0,/videos/400667627,"Tonda a bacil / Tonny & Mr. Illness",256,2020-03-25T17:21:20+00:00,Array,795,73,155,31057,51370,139
199,0,386,49,0,0,/videos/415948471,"The Head | Timotej Rajniš | 2019",617,2020-05-07T14:20:28+00:00,Array,206,64,383,76360,122783,138
199,0,377,31,0,0,/videos/373389555,"Muž, který připojil trinitrotoluenovou nálož k mixážnímu pultu | Luboš Kučera | 2019",543,2019-11-15T13:08:37+00:00,Array,202,77,411,81817,108247,140
197,0,342,39,1,0,/videos/418463202,"Dream | Ludvík Otevřel | 2019",441,2020-05-14T14:11:21+00:00,Array,210,80,351,69226,86877,148
192,0,370,91,0,0,/videos/417995742,"Boomerang - Miroslav Fojtík | Zdena Sýkorová | 2019",268,2020-05-13T11:41:02+00:00,Array,217,77,201,38730,51456,146
192,0,427,29,0,0,/videos/421437634,"Nekyia: Inner portrait of the poet Hradecky | Albert Hospodářský | 2019",1529,2020-05-22T08:17:00+00:00,Array,193,58,885,170085,293568,129
189,0,367,33,0,0,/videos/417219972,"Kidney, dialysis and the two of us | Vojtěch Petřina | 2019",987,2020-05-11T14:40:19+00:00,Array,194,65,637,120416,186724,132
180,0,352,17,0,0,/videos/418461999,"IVY | Siddesh Shetty | 2019",309,2020-05-14T14:08:17+00:00,Array,184,66,203,36700,55789,121
179,0,1636,38,1,0,/videos/401311371,"Chybička se vloudila / Whoops, Mistake!",395,2020-03-27T11:42:28+00:00,Array,810,69,238,42695,70853,130
168,0,329,11,1,0,/videos/417949368,"Abstract Horror | Franz Milec | 2019",1153,2020-05-13T08:45:13+00:00,Array,171,41,452,76050,193704,115
167,0,1563,40,0,0,/videos/400687878,Neil,358,2020-03-25T18:15:17+00:00,Array,782,77,221,36948,59928,131
167,0,309,32,0,0,/videos/419263734,"Untitled Bloody Project | Savva Dolomanov | 2019",619,2020-05-16T11:58:30+00:00,Array,171,79,480,80230,103373,117
162,0,321,20,0,0,/videos/419261962,"Dušan the model | Ondřej Nuslauer | 2019",809,2020-05-16T11:49:22+00:00,Array,179,75,590,95731,131213,116
149,0,1572,60,0,0,/videos/400881816,Hopus,211,2020-03-26T07:58:50+00:00,Array,793,76,134,19969,31439,113
148,0,283,71,0,0,/videos/418375957,"MIKROTRON | Petr Michal | 2019",271,2020-05-14T09:26:19+00:00,Array,173,82,216,32084,40108,106
145,0,246,29,0,0,/videos/418610980,"Three pigeons | Anežka Fišárková | 2019",347,2020-05-14T20:15:13+00:00,Array,142,61,207,30099,50450,99
141,0,242,56,0,0,/videos/417224502,"Passionate For Icecream | Juliana Moska | 2019",284,2020-05-11T14:51:41+00:00,Array,153,87,247,34924,40179,102
141,0,553,36,0,0,/videos/316565718,"Daughter - Official trailer",81,2019-02-11T15:18:08+00:00,Array,208,68,46,6497,11421,97
138,0,258,35,0,0,/videos/396116129,"The Shinkansen | Patrik Balonek | 2019",278,2020-03-07T07:35:50+00:00,Array,160,79,222,30736,38495,108
127,0,515,53,0,0,/videos/400629623,"FAMU dětem - trailer",38,2020-03-25T15:36:41+00:00,Array,227,66,19,2503,4826,90
125,0,1523,32,0,0,/videos/401317103,Borderlines,294,2020-03-27T12:04:05+00:00,Array,772,75,186,23372,36848,98
119,0,392,8,0,0,/videos/300981688,"Deserter | Sasha Stelchenko | 2019",1628,2018-11-15T13:15:09+00:00,Array,151,55,859,102241,193732,81
